,City,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
300,Neuquén,-38.95,-68.06,48.2,87,75,6.93,AR,1595270224
301,Port-Cartier,50.03,-66.87,77.0,69,75,10.29,CA,1595270497
302,São José da Coroa Grande,-8.9,-35.15,77.16,72,76,11.86,BR,1595270497
303,Mahébourg,-20.41,57.7,69.8,60,75,10.29,MU,1595270497
304,Port Lincoln,-34.73,135.87,52.72,64,79,4.99,AU,1595270497
305,Vila Franca do Campo,37.72,-25.43,73.4,60,75,9.17,PT,1595270497
306,Brae,60.4,-1.35,53.6,81,100,6.93,GB,1595270498
307,Lebu,-37.62,-73.65,54.23,82,64,11.99,CL,1595270498
308,Kuching,1.55,110.33,77.0,94,40,2.24,MY,1595270498
309,São João da Barra,-21.64,-41.05,78.8,61,0,13.87,BR,1595270498
310,Kenai,60.55,-151.26,60.8,82,1,6.93,US,1595270499
311,Belaya Gora,68.53,146.42,67.32,55,100,3.94,RU,1595270499
312,Payo,-3.75,103.64,73.17,95,50,1.99,ID,1595270499
313,Makokou,0.57,12.86,69.37,93,84,2.59,GA,1595270499
314,Menongue,-14.66,17.69,55.31,44,5,3.78,AO,1595270499
315,Moussoro,13.64,16.49,81.09,65,2,10.47,TD,1595270499
316,Vanimo,-2.67,141.3,78.3,82,93,5.97,PG,1595270500
317,Ashti,19.38,76.23,81.03,78,100,8.7,IN,1595270500
318,La Orilla,17.98,-102.23,87.82,63,0,9.64,MX,1595270500
319,Inskoy,54.43,86.44,63.52,90,11,3.42,RU,1595270500
320,Sitka,57.05,-135.33,57.2,93,90,11.41,US,1595270500
321,Gaogou,34.02,119.19,70.86,97,99,4.72,CN,1595270501
322,Rafaela,-31.25,-61.49,72.77,66,100,5.61,AR,1595270501
323,Berlevåg,70.86,29.09,53.78,93,100,8.97,NO,1595270501
324,Barabai,-2.58,115.38,73.0,92,4,1.28,ID,1595270501
325,Codrington,-38.27,141.97,50.29,77,100,6.98,AU,1595270501
326,Gizo Government Station,-8.1,156.84,80.4,83,34,16.04,SB,1595270501
327,Paamiut,61.99,-49.67,48.96,66,100,6.13,GL,1595270501
328,Bathsheba,13.22,-59.52,86.0,70,40,19.46,BB,1595270502
329,Lubango,-14.92,13.49,53.83,40,1,4.61,AO,1595270502
330,Charlestown,-32.95,151.67,46.99,66,0,6.85,AU,1595270220
331,Kattivākkam,13.22,80.32,84.2,83,20,4.7,IN,1595270502
332,San Policarpo,12.18,125.51,81.54,80,64,2.24,PH,1595270502
333,Mineros,-17.12,-63.23,86.0,62,75,18.34,BO,1595270503
334,Copiapó,-27.37,-70.33,66.2,45,100,17.22,CL,1595270503
335,Hasaki,35.73,140.83,69.01,100,75,5.82,JP,1595270344
